Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios
46046;Barx;0.8;76.6;0.6903578724338348;1501.0;14546.0;66.0;3.0;8.0;24.0;3.0;12.0;18.0;5.0;3.0;11.0;47.0
46047;Bèlgida;0.8;76.6;0.5553040804473566;651.0;12121.0;32.0;3.0;3.0;8.0;3.0;8.0;11.0;3.0;11.0;3.0;15.0
46048;Bellreguard;0.8;76.6;0.6844193887095925;5032.0;13207.0;274.0;14.0;28.0;70.0;9.0;54.0;99.0;5.0;14.0;19.0;233.0
46049;Bellús;0.8;76.6;0.581439819584399;317.0;12041.0;18.0;3.0;3.0;5.0;3.0;3.0;6.0;0.0;3.0;3.0;11.0
46050;Benagéber;0.8;76.6;0.8656945576749115;176.0;15598.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0
46051;Benaguasil;0.8;76.6;0.5917493397307126;12668.0;12636.0;815.0;27.0;104.0;194.0;29.0;184.0;277.0;18.0;135.0;80.0;547.0
46052;Benavites;0.8;76.6;0.7286863387434604;652.0;13395.0;18.0;0.0;6.0;3.0;0.0;3.0;7.0;0.0;3.0;3.0;14.0
46053;Beneixida;0.8;76.6;0.7551619873828493;659.0;15662.0;23.0;0.0;5.0;5.0;3.0;7.0;5.0;3.0;3.0;3.0;18.0
46054;Benetússer;0.8;76.6;0.6038560235370922;16734.0;12553.0;1113.0;33.0;157.0;218.0;30.0;231.0;444.0;11.0;145.0;65.0;815.0
46055;Beniarjó;0.8;76.6;0.6527689360932335;1964.0;12779.0;101.0;6.0;10.0;29.0;3.0;17.0;35.0;3.0;13.0;11.0;76.0
46056;Beniatjar;0.8;76.6;0.655723297760169;209.0;13340.0;9.0;0.0;3.0;3.0;0.0;3.0;3.0;3.0;3.0;0.0;6.0
46057;Benicolet;0.8;76.6;0.7182892445527015;610.0;12490.0;11.0;0.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;8.0
46058;Benifairó;0.8;76.6;0.6708136870669569;2359.0;12789.0;87.0;5.0;18.0;12.0;3.0;25.0;25.0;3.0;10.0;5.0;61.0
46059;Benifairó;0.8;76.6;0.718744216981443;1588.0;15321.0;52.0;3.0;9.0;13.0;3.0;7.0;17.0;5.0;5.0;3.0;35.0
46060;Benifaió;0.8;76.6;0.6236979380414592;12262.0;14465.0;674.0;22.0;81.0;163.0;20.0;142.0;246.0;14.0;153.0;46.0;401.0
46061;Beniflá;0.8;76.6;0.6661949191532398;505.0;12559.0;33.0;0.0;3.0;3.0;3.0;6.0;19.0;0.0;3.0;3.0;30.0
46062;Benigànim;0.8;76.6;0.6226186442748654;5759.0;12661.0;270.0;9.0;30.0;68.0;6.0;47.0;110.0;8.0;65.0;10.0;171.0
46063;Benimodo;-2.0;76.6;0.6774022070356639;2332.0;13301.0;78.0;5.0;11.0;13.0;3.0;19.0;26.0;3.0;8.0;5.0;52.0
46064;Benimuslem;0.8;76.6;0.6139216563977774;674.0;12479.0;44.0;3.0;3.0;8.0;3.0;13.0;19.0;3.0;7.0;3.0;33.0
46065;Beniparrell;0.8;76.6;0.6561133635055475;2108.0;14835.0;127.0;8.0;13.0;31.0;7.0;23.0;45.0;3.0;17.0;11.0;90.0
