Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46162;Massalavés;1905.0;11316.0;104.0;3.0;11.0;21.0;3.0;31.0;36.0;3.0;15.0;3.0;68.0;0.14695727610808493;2
46163;Massalfassar;2716.0;16002.0;114.0;3.0;20.0;26.0;3.0;22.0;44.0;3.0;18.0;3.0;86.0;0.08330921076004619;2
46164;Massamagrell;17566.0;13161.0;967.0;38.0;127.0;218.0;36.0;181.0;367.0;19.0;123.0;78.0;694.0;0.13465528796044948;2
46165;Massanassa;10607.0;13889.0;630.0;19.0;82.0;125.0;19.0;143.0;242.0;3.0;85.0;42.0;457.0;0.11936862579209218;2
46166;Meliana;11055.0;14462.0;593.0;23.0;77.0;136.0;14.0;117.0;226.0;10.0;68.0;37.0;443.0;0.11138617439890944;2
46167;Millares;321.0;12836.0;44.0;0.0;3.0;7.0;3.0;7.0;25.0;3.0;3.0;3.0;37.0;0.12511644279059206;2
46168;Miramar;3143.0;13899.0;140.0;5.0;23.0;30.0;3.0;28.0;53.0;5.0;12.0;5.0;116.0;0.1124141431524362;2
46169;Mislata;47079.0;13573.0;2797.0;69.0;377.0;581.0;77.0;590.0;1103.0;24.0;281.0;190.0;2042.0;0.15507315271326672;2
46170;Moixent/Mogente;4401.0;12456.0;250.0;5.0;27.0;45.0;7.0;55.0;111.0;12.0;47.0;7.0;177.0;0.1335105935694693;2
46171;Montcada/Moncada;22213.0;13836.0;1179.0;47.0;167.0;267.0;48.0;200.0;450.0;15.0;138.0;100.0;841.0;0.12888874027039124;2
46172;Montserrat;10062.0;13153.0;556.0;10.0;58.0;146.0;10.0;129.0;203.0;15.0;85.0;54.0;393.0;0.1286022892180315;2
46173;Montaverner;1624.0;12836.0;103.0;3.0;19.0;28.0;0.0;13.0;41.0;3.0;39.0;5.0;52.0;0.1260816159480735;2
46174;Montesa;1128.0;12446.0;66.0;3.0;7.0;6.0;3.0;19.0;31.0;3.0;7.0;5.0;47.0;0.13091927524453553;2
46175;Montitxelvo/Montichelvo;556.0;13335.0;22.0;0.0;6.0;5.0;3.0;6.0;3.0;0.0;3.0;6.0;13.0;0.11819619597948225;2
46176;Montroi/Montroy;3792.0;11987.0;214.0;6.0;27.0;57.0;5.0;49.0;70.0;6.0;40.0;22.0;141.0;0.139395745898433;2
46177;Museros;6871.0;14455.0;381.0;17.0;47.0;78.0;11.0;94.0;134.0;3.0;56.0;26.0;274.0;0.10819140921603636;2
46178;Nàquera/Náquera;8556.0;15626.0;412.0;17.0;46.0;85.0;17.0;87.0;160.0;5.0;51.0;33.0;318.0;0.09305674874317493;2
46179;Navarrés;3027.0;11852.0;170.0;3.0;16.0;34.0;3.0;49.0;66.0;6.0;29.0;8.0;122.0;0.14059414819501;2
46180;Novetlè;872.0;15022.0;39.0;0.0;5.0;15.0;0.0;6.0;13.0;3.0;3.0;3.0;29.0;0.09540454067657511;2
46181;Oliva;26813.0;12866.0;1556.0;39.0;200.0;345.0;56.0;371.0;545.0;68.0;100.0;151.0;1184.0;0.1469791636007075;2
46182;Olocau;2534.0;15763.0;133.0;5.0;16.0;38.0;3.0;23.0;47.0;3.0;16.0;8.0;99.0;0.08667069556267189;2
46183;Olleria,;8818.0;12575.0;477.0;16.0;46.0;99.0;14.0;94.0;208.0;14.0;122.0;22.0;287.0;0.1353854839595882;2
46184;Ontinyent;37012.0;13307.0;2387.0;63.0;295.0;489.0;75.0;464.0;1001.0;74.0;572.0;132.0;1414.0;0.15163904914771245;2
46185;Otos;442.0;12504.0;21.0;0.0;3.0;5.0;0.0;5.0;8.0;0.0;3.0;3.0;16.0;0.12950053418994537;2
46186;Paiporta;28136.0;13675.0;1742.0;61.0;206.0;368.0;48.0;356.0;703.0;20.0;299.0;110.0;1251.0;0.1379753723989658;2
46187;Palma;1897.0;12985.0;81.0;3.0;11.0;20.0;3.0;19.0;26.0;0.0;8.0;5.0;67.0;0.12395678405273305;2
46188;Palmera;1038.0;12843.0;49.0;0.0;9.0;11.0;0.0;11.0;18.0;0.0;3.0;3.0;43.0;0.1253190303202443;2
46189;Palomar,;593.0;13652.0;31.0;0.0;7.0;3.0;0.0;6.0;14.0;0.0;12.0;0.0;18.0;0.11395471226894445;2
46190;Paterna;76019.0;14451.0;4714.0;153.0;653.0;981.0;150.0;1090.0;1687.0;42.0;451.0;411.0;3665.0;0.16965753053099636;2
46191;Pedralba;3225.0;12052.0;197.0;6.0;18.0;61.0;6.0;40.0;66.0;12.0;29.0;17.0;128.0;0.13816123653669768;2
46192;Petrés;1124.0;13583.0;58.0;3.0;3.0;18.0;3.0;12.0;20.0;0.0;5.0;3.0;47.0;0.11531581526050716;2
46193;Picanya;11901.0;15623.0;617.0;22.0;89.0;131.0;18.0;117.0;240.0;7.0;107.0;29.0;454.0;0.09602942557508569;2
46194;Picassent;23202.0;13620.0;1382.0;49.0;187.0;306.0;34.0;294.0;512.0;37.0;222.0;80.0;938.0;0.1339139244574681;2
46195;Piles;3151.0;12977.0;131.0;5.0;13.0;35.0;3.0;36.0;39.0;10.0;8.0;5.0;104.0;0.12493746327845245;2
46196;Pinet;156.0;14560.0;10.0;0.0;3.0;3.0;0.0;0.0;5.0;3.0;0.0;0.0;9.0;0.10121522980406553;2
